date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:12	133/133	---MCZ	200	added ('OK')	text/plain	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/robots.txt		(from )
11:51:12	23266/23266	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202016%2016:49:27%20GMT	http://devbootcamp.com/jobs/community-marketing-manager/	/home/armadillos/websites/split%20agency/devbootcamp.com/jobs/community-marketing-manager/index.html	(from )
11:51:14	149515/149515	---MCZ	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/css/foundation.css	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/css/foundation.css	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:14	5430/5430	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/favicon.ico	/home/armadillos/websites/split%20agency/devbootcamp.com/favicon.ico	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:14	11003/11003	---MCZ	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/css/app.css?v002	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/css/app040f.css	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:15	25877/25877	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2010%20Jun%202015%2021:41:16%20GMT	http://d37gvrvc0wt4s1.cloudfront.net/js/v1.2/rollbar.min.js	/home/armadillos/websites/split%20agency/d37gvrvc0wt4s1.cloudfront.net/js/v1.2/rollbar.min.js	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:15	1990/1990	---MCZ	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/css/normalize-3.0.2.css	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/css/normalize-3.0.2.css	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:15	3016/3016	---MCZ	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/css/responsive.gs.12col.css	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/css/responsive.gs.12col.css	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:16	76666/76666	---MCZ	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/css/nuclide.css?v002	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/css/nuclide040f.css	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:16	23700/23700	---MCZ	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/css/font-awesome.css	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/css/font-awesome.css	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:16	2085/2085	---MC-	200	added ('OK')	text/css	date:Mon,%2028%20Mar%202016%2016:51:16%20GMT	http://fonts.googleapis.com/css?family=Open+Sans:300italic,400italic,600italic,700italic,400,700,300,600	/home/armadillos/websites/split%20agency/fonts.googleapis.com/cssf4c7.css	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:17	11084/11084	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/js/vendor/modernizr.js	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/js/vendor/modernizr.js	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:18	9376/9376	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/js/foundation.reveal.js	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/js/foundation.reveal.js	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:18	184334/184334	---M-Z	200	added ('OK')	text/javascript	etag:%223079c282df7392b1a430521f07763b0d%22	http://cdn.optimizely.com/js/3326751081.js	/home/armadillos/websites/split%20agency/cdn.optimizely.com/js/3326751081.js	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:19	9315/9315	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/js/foundation.abide.js	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/js/foundation.abide.js	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:19	1529/1529	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/js/app.js?v002	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/js/app040f.js	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:19	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2028%20Mar%202016%2016:51:19%20GMT	http://www.googletagmanager.com/gtm.js?id=	/home/armadillos/websites/split%20agency/www.googletagmanager.com/gtm.105445.delayed	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:20	4878/4878	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/img/devbootcamp-logo-new.png	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/img/devbootcamp-logo-new.png	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:21	95/95	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/js/vendor/nuclide.js	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/js/vendor/nuclide.js	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:22	14661/14661	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2023%20Mar%202016%2016:49:27%20GMT	http://devbootcamp.com/assets/js/main.js?v027	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/js/main27f2.js	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:22	95931/95931	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/js/vendor/jquery-1.11.2.min.js	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/js/vendor/jquery-1.11.2.min.js	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:22	1822/1822	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/js/vendor/le-mtagconfig-prod.js	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/js/vendor/le-mtagconfig-prod.js	(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:23	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2028%20Mar%202016%2016:51:22%20GMT	http://fonts.googleapis.com/robots.txt		(from http://devbootcamp.com/jobs/community-marketing-manager/)
11:51:23	187072/187072	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2023%20Mar%202016%2016:49:24%20GMT	http://devbootcamp.com/assets/js/foundation.min.js	/home/armadillos/websites/split%20agency/devbootcamp.com/assets/js/foundation.min.js	(from http://devbootcamp.com/jobs/community-marketing-manager/)
